,0,1,2,3,4
0,6.7,3.1,5.6,2.4,Iris-virginica
1,4.8,3.0,1.4,0.3,Iris-setosa
2,7.4,2.8,6.1,1.9,Iris-virginica
3,4.6,3.4,1.4,0.3,Iris-setosa
4,6.4,3.1,5.5,1.8,Iris-virginica
5,6.4,3.2,5.3,2.3,Iris-virginica
6,5.4,3.4,1.7,0.2,Iris-setosa
7,5.0,2.0,3.5,1.0,Iris-versicolor
8,6.3,2.7,4.9,1.8,Iris-virginica
9,6.2,2.8,4.8,1.8,Iris-virginica
10,5.8,4.0,1.2,0.2,Iris-setosa
11,4.4,3.2,1.3,0.2,Iris-setosa
12,6.9,3.1,5.4,2.1,Iris-virginica
13,5.4,3.4,1.5,0.4,Iris-setosa
14,6.6,3.0,4.4,1.4,Iris-versicolor
15,5.5,2.4,3.8,1.1,Iris-versicolor
16,4.8,3.4,1.6,0.2,Iris-setosa
17,5.6,3.0,4.5,1.5,Iris-versicolor
18,4.3,3.0,1.1,0.1,Iris-setosa
19,5.1,3.4,1.5,0.2,Iris-setosa
20,6.1,3.0,4.6,1.4,Iris-versicolor
21,5.6,2.5,3.9,1.1,Iris-versicolor
22,5.1,3.8,1.9,0.4,Iris-setosa
23,5.5,2.5,4.0,1.3,Iris-versicolor
24,5.5,2.3,4.0,1.3,Iris-versicolor
25,5.6,2.9,3.6,1.3,Iris-versicolor
26,5.3,3.7,1.5,0.2,Iris-setosa
27,5.2,4.1,1.5,0.1,Iris-setosa
28,6.9,3.1,4.9,1.5,Iris-versicolor
29,5.8,2.7,3.9,1.2,Iris-versicolor
